Date,History,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35806,265.5735474,35806,143.4097156,35806,292.1309021,35806,326.6554633,35806,260.2620765,35806,175.2785413,35806,236.3604572,35806,212.4588379,35806,318.6882568,35806,323.9997278,35806,297.442373,35806,132.7867737,35806,325.5931691,35806,313.3767859,35806,185.9014832,35806,302.753844,35806,324.5308749,35806,331.9669342,35806,329.3111987,35806,159.3441284,35806,398.360321,35806,191.2129541,35806,336.0833242,35806,334.6226697,35806,146.065451,35806,330.6390665,35806,335.9505374,35806,281.5079602,35806,74.36059326,35806,308.0653149,35806,239.0161926
35816,264.0430298,35816,142.5832361,35816,290.4473328,35816,324.7729266,35816,258.7621692,35816,174.2683997,35816,234.9982965,35816,211.2344238,35816,316.8516357,35816,322.1324963,35816,295.7281934,35816,132.0215149,35816,323.7167545,35816,311.5707751,35816,184.8301208,35816,301.009054,35816,322.6605824,35816,330.0537872,35816,327.4133569,35816,158.4258179,35816,396.0645447,35816,190.1109814,35816,334.1464542,35816,332.6942175,35816,145.2236664,35816,328.7335721,35816,334.0144327,35816,279.8856116,35816,73.93204834,35816,306.2899146,35816,237.6387268
35821.5,263.2427979,35821.5,142.1511108,35821.5,289.5670776,35821.5,323.7886414,35821.5,257.9779419,35821.5,173.7402466,35821.5,234.2860901,35821.5,210.5942383,35821.5,315.8913574,35821.5,321.1562134,35821.5,294.8319336,35821.5,131.6213989,35821.5,322.7356702,35821.5,310.6265015,35821.5,184.2699585,35821.5,300.0967896,35821.5,321.682699,35821.5,329.0534973,35821.5,326.4210693,35821.5,157.9456787,35821.5,394.8641968,35821.5,189.5348145,35821.5,333.1337607,35821.5,331.6859253,35821.5,144.7835388,35821.5,327.7372833,35821.5,333.0021393,35821.5,279.0373657,35821.5,73.7079834,35821.5,305.3616455,35821.5,236.9185181
35827,262.4732056,35827,141.735531,35827,288.7205261,35827,322.8420428,35827,257.2237415,35827,173.2323157,35827,233.601153,35827,209.9785645,35827,314.9678467,35827,320.2173108,35827,293.9699902,35827,131.2366028,35827,321.79215,35827,309.7183826,35827,183.7312439,35827,299.2194543,35827,320.7422572,35827,328.091507,35827,325.4667749,35827,157.4839233,35827,393.7098083,35827,188.980708,35827,332.1598416,35827,330.716239,35827,144.3602631,35827,326.7791409,35827,332.028605,35827,278.2215979,35827,73.49249756,35827,304.4689185,35827,236.225885
35837,262.5546265,35837,141.7794983,35837,288.8100891,35837,322.9421906,35837,257.303534,35837,173.2860535,35837,233.6736176,35837,210.0437012,35837,315.0655518,35837,320.3166443,35837,294.0611816,35837,131.2773132,35837,321.891972,35837,309.8144592,35837,183.7882385,35837,299.3122742,35837,320.8417535,35837,328.1932831,35837,325.5677368,35837,157.5327759,35837,393.8319397,35837,189.0393311,35837,332.2628798,35837,330.8188293,35837,144.4050446,35837,326.8805099,35837,332.1316025,35837,278.3079041,35837,73.51529541,35837,304.5633667,35837,236.2991638
35846,262.543335,35846,141.7734009,35846,288.7976685,35846,322.928302,35846,257.2924683,35846,173.2786011,35846,233.6635681,35846,210.034668,35846,315.052002,35846,320.3028687,35846,294.0485352,35846,131.2716675,35846,321.8781287,35846,309.8011353,35846,183.7803345,35846,299.2994019,35846,320.8279553,35846,328.1791687,35846,325.5537354,35846,157.526001,35846,393.8150024,35846,189.0312012,35846,332.2485904,35846,330.8046021,35846,144.3988342,35846,326.866452,35846,332.1173187,35846,278.2959351,35846,73.51213379,35846,304.5502686,35846,236.2890015
35855,262.4775391,35855,141.7378711,35855,288.725293,35855,322.847373,35855,257.2279883,35855,173.2351758,35855,233.6050098,35855,209.9820313,35855,314.9730469,35855,320.2225977,35855,293.9748438,35855,131.2387695,35855,321.7974629,35855,309.7234961,35855,183.7342773,35855,299.2243945,35855,320.7475527,35855,328.0969238,35855,325.4721484,35855,157.4865234,35855,393.7163086,35855,188.9838281,35855,332.1653257,35855,330.7216992,35855,144.3626465,35855,326.7845361,35855,332.0340869,35855,278.2261914,35855,73.49371094,35855,304.4739453,35855,236.2297852
35865,261.2713623,35865,141.0865356,35865,287.3984985,35865,321.3637756,35865,256.0459351,35865,172.4390991,35865,232.5315125,35865,209.0170898,35865,313.5256348,35865,318.751062,35865,292.6239258,35865,130.6356812,35865,320.3186902,35865,308.3002075,35865,182.8899536,35865,297.849353,35865,319.2736047,35865,326.5892029,35865,323.9764893,35865,156.7628174,35865,391.9070435,35865,188.1153809,35865,330.638909,35865,329.2019165,35865,143.6992493,35865,325.2828461,35865,330.5082733,35865,276.947644,35865,73.15598145,35865,303.0747803,35865,235.1442261
35874,260.3695068,35874,140.5995337,35874,286.4064575,35874,320.2544934,35874,255.1621167,35874,171.8438745,35874,231.7288611,35874,208.2956055,35874,312.4434082,35874,317.6507983,35874,291.6138477,35874,130.1847534,35874,319.2130154,35874,307.2360181,35874,182.2586548,35874,296.8212378,35874,318.1715374,35874,325.4618835,35874,322.8581885,35874,156.2217041,35874,390.5542603,35874,187.4660449,35874,329.4976109,35874,328.0655786,35874,143.2032288,35874,324.160036,35874,329.3674261,35874,275.9916772,35874,72.90346191,35874,302.0286279,35874,234.3325562
35883,259.5462952,35883,140.1549994,35883,285.5009247,35883,319.2419431,35883,254.3553693,35883,171.3005548,35883,230.9962027,35883,207.6370361,35883,311.4555542,35883,316.6464801,35883,290.6918506,35883,129.7731476,35883,318.2037579,35883,306.2646283,35883,181.6824066,35883,295.8827765,35883,317.1655727,35883,324.432869,35883,321.837406,35883,155.7277771,35883,389.3194427,35883,186.8733325,35883,328.4558365,35883,327.0283319,35883,142.7504623,35883,323.1351375,35883,328.3260634,35883,275.1190729,35883,72.67296265,35883,301.0737024,35883,233.5916656
35884,259.418457,35884,140.0859668,35884,285.3603027,35884,319.0847021,35884,254.2300879,35884,171.2161816,35884,230.8824268,35884,207.5347656,35884,311.3021484,35884,316.4905176,35884,290.5486719,35884,129.7092285,35884,318.0470283,35884,306.1137793,35884,181.5929199,35884,295.737041,35884,317.0093545,35884,324.2730713,35884,321.6788867,35884,155.6510742,35884,389.1276855,35884,186.7812891,35884,328.2940574,35884,326.8672559,35884,142.6801514,35884,322.975979,35884,328.1643481,35884,274.9835645,35884,72.63716797,35884,300.9254102,35884,233.4766113
35886,259.1356506,35886,139.9332513,35886,285.0492157,35886,318.7368503,35886,253.9529376,35886,171.0295294,35886,230.6307291,35886,207.3085205,35886,310.9627808,35886,316.1454938,35886,290.2319287,35886,129.5678253,35886,317.7003077,35886,305.7800677,35886,181.3949554,35886,295.4146417,35886,316.6637651,35886,323.9195633,35886,321.3282068,35886,155.4813904,35886,388.703476,35886,186.5776685,35886,327.9361659,35886,326.5109198,35886,142.5246078,35886,322.623885,35886,327.8065981,35886,274.6837897,35886,72.55798218,35886,300.5973547,35886,233.2220856
35892,258.3877258,35892,139.5293719,35892,284.2264984,35892,317.8169028,35892,253.2199713,35892,170.535899,35892,229.965076,35892,206.7101807,35892,310.065271,35892,315.2330255,35892,289.3942529,35892,129.1938629,35892,316.7833519,35892,304.8975165,35892,180.8714081,35892,294.5620074,35892,315.749801,35892,322.9846573,35892,320.40078,35892,155.0326355,35892,387.5815887,35892,186.0391626,35892,326.989667,35892,325.5685345,35892,142.1132492,35892,321.6927187,35892,326.8604732,35892,273.8909894,35892,72.34856323,35892,299.729762,35892,232.5489532
35900,257.4760437,35900,139.0370636,35900,283.2236481,35900,316.6955338,35900,252.3265228,35900,169.9341888,35900,229.1536789,35900,205.980835,35900,308.9712524,35900,314.1207733,35900,288.3731689,35900,128.7380219,35900,315.6656296,35900,303.8217316,35900,180.2332306,35900,293.5226898,35900,314.6357254,35900,321.8450546,35900,319.2702942,35900,154.4856262,35900,386.2140656,35900,185.3827515,35900,325.8359333,35900,324.4198151,35900,141.611824,35900,320.5576744,35900,325.7071953,35900,272.9246063,35900,72.09329224,35900,298.6722107,35900,231.7284393
35908,256.6444702,35908,138.5880139,35908,282.3089172,35908,315.6726984,35908,251.5115808,35908,169.3853503,35908,228.4135785,35908,205.3155762,35908,307.9733643,35908,313.1062537,35908,287.4418066,35908,128.3222351,35908,314.6461205,35908,302.8404749,35908,179.6511292,35908,292.574696,35908,313.6195426,35908,320.8055878,35908,318.2391431,35908,153.9866821,35908,384.9667053,35908,184.7840186,35908,324.7835771,35908,323.3720325,35908,141.1544586,35908,319.5223654,35908,324.6552548,35908,272.0431384,35908,71.86045166,35908,297.7075854,35908,230.9800232
35916,255.7961884,35916,138.1299417,35916,281.3758072,35916,314.6293117,35916,250.6802646,35916,168.8254843,35916,227.6586076,35916,204.6369507,35916,306.955426,35916,312.0713498,35916,286.491731,35916,127.8980942,35916,313.6061269,35916,301.8395023,35916,179.0573318,35916,291.6076547,35916,312.5829422,35916,319.7452354,35916,317.1872736,35916,153.477713,35916,383.6942825,35916,184.1732556,35916,323.7100764,35916,322.3031973,35916,140.6879036,35916,318.4662545,35916,323.5821783,35916,271.1439597,35916,71.62293274,35916,296.7235785,35916,230.2165695
35926,254.7329254,35926,137.5557797,35926,280.206218,35926,313.3214983,35926,249.6382669,35926,168.1237308,35926,226.7123036,35926,203.7863403,35926,305.6795105,35926,310.774169,35926,285.3008765,35926,127.3664627,35926,312.3025666,35926,300.584852,35926,178.3130478,35926,290.395535,35926,311.2836349,35926,318.4161568,35926,315.8688275,35926,152.8397552,35926,382.0993881,35926,183.4077063,35926,322.3645171,35926,320.963486,35926,140.103109,35926,317.1424921,35926,322.2371507,35926,270.0169009,35926,71.32521912,35926,295.4901935,35926,229.2596329
35933.5,253.9833984,35933.5,137.1510352,35933.5,279.3817383,35933.5,312.3995801,35933.5,248.9037304,35933.5,167.629043,35933.5,226.0452246,35933.5,203.1867188,35933.5,304.7800781,35933.5,309.8597461,35933.5,284.4614063,35933.5,126.9916992,35933.5,311.3836465,35933.5,299.7004102,35933.5,177.7883789,35933.5,289.5410742,35933.5,310.3677129,35933.5,317.479248,35933.5,314.9394141,35933.5,152.3900391,35933.5,380.9750977,35933.5,182.8680469,35933.5,321.4159907,35933.5,320.019082,35933.5,139.6908691,35933.5,316.2093311,35933.5,321.288999,35933.5,269.2224023,35933.5,71.11535156,35933.5,294.6207422,35933.5,228.5850586
35941,253.2662048,35941,136.7637506,35941,278.5928253,35941,311.5174319,35941,248.2008807,35941,167.1556952,35941,225.4069223,35941,202.6129639,35941,303.9194458,35941,308.9847699,35941,283.6581494,35941,126.6331024,35941,310.5043671,35941,298.8541217,35941,177.2863434,35941,288.7234735,35941,309.4913023,35941,316.582756,35941,314.050094,35941,151.9597229,35941,379.8993073,35941,182.3516675,35941,320.5083822,35941,319.1154181,35941,139.2964127,35941,315.316425,35941,320.3817491,35941,268.4621771,35941,70.91453735,35941,293.7887976,35941,227.9395844
35942,253.1709442,35942,136.7123099,35942,278.4880386,35942,311.4002614,35942,248.1075253,35942,167.0928232,35942,225.3221404,35942,202.5367554,35942,303.8051331,35942,308.8685519,35942,283.5514575,35942,126.5854721,35942,310.3875776,35942,298.7417142,35942,177.2196609,35942,288.6148764,35942,309.3748938,35942,316.4636803,35942,313.9319708,35942,151.9025665,35942,379.7564163,35942,182.2830798,35942,320.3878299,35942,318.9953897,35942,139.2440193,35942,315.1978255,35942,320.2612444,35942,268.3612009,35942,70.88786438,35942,293.6782953,35942,227.8538498
35943.25,253.0571899,35943.25,136.6508826,35943.25,278.3629089,35943.25,311.2603436,35943.25,247.9960461,35943.25,167.0177454,35943.25,225.220899,35943.25,202.445752,35943.25,303.6686279,35943.25,308.7297717,35943.25,283.4240527,35943.25,126.528595,35943.25,310.2481149,35943.25,298.6074841,35943.25,177.140033,35943.25,288.4851965,35943.25,309.2358861,35943.25,316.3214874,35943.25,313.7909155,35943.25,151.834314,35943.25,379.5857849,35943.25,182.2011768,35943.25,320.2438739,35943.25,318.8520593,35943.25,139.1814545,35943.25,315.0562015,35943.25,320.1173453,35943.25,268.2406213,35943.25,70.85601318,35943.25,293.5463403,35943.25,227.7514709
35944.8125,252.9159088,35944.8125,136.5745908,35944.8125,278.2074997,35944.8125,311.0865678,35944.8125,247.8575906,35944.8125,166.9244998,35944.8125,225.0951588,35944.8125,202.3327271,35944.8125,303.4990906,35944.8125,308.5574088,35944.8125,283.2658179,35944.8125,126.4579544,35944.8125,310.0749042,35944.8125,298.4407724,35944.8125,177.0411362,35944.8125,288.324136,35944.8125,309.0632406,35944.8125,316.144886,35944.8125,313.6157269,35944.8125,151.7495453,35944.8125,379.3738632,35944.8125,182.0994543,35944.8125,320.0650826,35944.8125,318.6740451,35944.8125,139.1037498,35944.8125,314.8803065,35944.8125,319.9386246,35944.8125,268.0908633,35944.8125,70.81645447,35944.8125,293.3824542,35944.8125,227.6243179
35945.90625,252.8179016,35945.90625,136.5216669,35945.90625,278.0996918,35945.90625,310.966019,35945.90625,247.7615436,35945.90625,166.8598151,35945.90625,225.0079324,35945.90625,202.2543213,35945.90625,303.3814819,35945.90625,308.43784,35945.90625,283.1560498,35945.90625,126.4089508,35945.90625,309.9547474,35945.90625,298.3251239,35945.90625,176.9725311,35945.90625,288.2124078,35945.90625,308.9434758,35945.90625,316.022377,35945.90625,313.494198,35945.90625,151.690741,35945.90625,379.2268524,35945.90625,182.0288892,35945.90625,319.9410545,35945.90625,318.550556,35945.90625,139.0498459,35945.90625,314.7582875,35945.90625,319.8146455,35945.90625,267.9869757,35945.90625,70.78901245,35945.90625,293.2687659,35945.90625,227.5361115
35947,252.7204742,35947,136.4690561,35947,277.9925217,35947,310.8461833,35947,247.6660647,35947,166.795513,35947,224.9212221,35947,202.1763794,35947,303.2645691,35947,308.3189786,35947,283.0469312,35947,126.3602371,35947,309.8353014,35947,298.2101596,35947,176.904332,35947,288.1013406,35947,308.8244195,35947,315.9005928,35947,313.3733881,35947,151.6322845,35947,379.0807114,35947,181.9587415,35947,319.8177602,35947,318.4277975,35947,138.9962608,35947,314.6369904,35947,319.6913999,35947,267.8837027,35947,70.76173279,35947,293.1557501,35947,227.4484268
35948.36719,252.5989227,35948.36719,136.4034183,35948.36719,277.858815,35948.36719,310.696675,35948.36719,247.5469442,35948.36719,166.715289,35948.36719,224.8130412,35948.36719,202.0791382,35948.36719,303.1187073,35948.36719,308.1706857,35948.36719,282.9107935,35948.36719,126.2994614,35948.36719,309.6862793,35948.36719,298.0667288,35948.36719,176.8192459,35948.36719,287.9627719,35948.36719,308.6758836,35948.36719,315.7486534,35948.36719,313.2226642,35948.36719,151.5593536,35948.36719,378.8983841,35948.36719,181.8712244,35948.36719,319.6639367,35948.36719,318.2746426,35948.36719,138.9294075,35948.36719,314.4856588,35948.36719,319.5376373,35948.36719,267.7548581,35948.36719,70.72769836,35948.36719,293.0147504,35948.36719,227.3390305
35950.07617,252.4481201,35950.07617,136.3219849,35950.07617,277.6929321,35950.07617,310.5111877,35950.07617,247.3991577,35950.07617,166.6157593,35950.07617,224.6788269,35950.07617,201.9584961,35950.07617,302.9377441,35950.07617,307.9867065,35950.07617,282.7418945,35950.07617,126.2240601,35950.07617,309.5013953,35950.07617,297.8887817,35950.07617,176.7136841,35950.07617,287.7908569,35950.07617,308.4916028,35950.07617,315.5601501,35950.07617,313.0356689,35950.07617,151.4688721,35950.07617,378.6721802,35950.07617,181.7626465,35950.07617,319.473096,35950.07617,318.0846313,35950.07617,138.8464661,35950.07617,314.2979095,35950.07617,319.3468719,35950.07617,267.5950073,35950.07617,70.68547363,35950.07617,292.8398193,35950.07617,227.2033081
35952.2124,252.2620697,35952.2124,136.2215176,35952.2124,277.4882767,35952.2124,310.2823457,35952.2124,247.2168283,35952.2124,166.492966,35952.2124,224.513242,35952.2124,201.8096558,35952.2124,302.7144836,35952.2124,307.759725,35952.2124,282.5335181,35952.2124,126.1310349,35952.2124,309.2732975,35952.2124,297.6692422,35952.2124,176.5834488,35952.2124,287.5787595,35952.2124,308.2642492,35952.2124,315.3275871,35952.2124,312.8049664,35952.2124,151.3572418,35952.2124,378.3931046,35952.2124,181.6286902,35952.2124,319.2376492,35952.2124,317.8502078,35952.2124,138.7441383,35952.2124,314.0662768,35952.2124,319.1115182,35952.2124,267.3977939,35952.2124,70.63337952,35952.2124,292.6240009,35952.2124,227.0358627
35954.88269,252.0330963,35954.88269,136.097872,35954.88269,277.2364059,35954.88269,310.0007085,35954.88269,246.9924344,35954.88269,166.3418436,35954.88269,224.3094557,35954.88269,201.6264771,35954.88269,302.4397156,35954.88269,307.4803775,35954.88269,282.2770679,35954.88269,126.0165482,35954.88269,308.9925761,35954.88269,297.3990536,35954.88269,176.4231674,35954.88269,287.3177298,35954.88269,307.9844437,35954.88269,315.0413704,35954.88269,312.5210394,35954.88269,151.2198578,35954.88269,378.0496445,35954.88269,181.4638293,35954.88269,318.9478834,35954.88269,317.5617014,35954.88269,138.618203,35954.88269,313.7812049,35954.88269,318.8218668,35954.88269,267.1550821,35954.88269,70.56926697,35954.88269,292.3583917,35954.88269,226.8297867
35957.44135,251.817688,35957.44135,135.9815515,35957.44135,276.9994568,35957.44135,309.7357562,35957.44135,246.7813342,35957.44135,166.1996741,35957.44135,224.1177423,35957.44135,201.4541504,35957.44135,302.1812256,35957.44135,307.2175793,35957.44135,282.0358105,35957.44135,125.908844,35957.44135,308.7284855,35957.44135,297.1448718,35957.44135,176.2723816,35957.44135,287.0721643,35957.44135,307.7212147,35957.44135,314.77211,35957.44135,312.2539331,35957.44135,151.0906128,35957.44135,377.726532,35957.44135,181.3087354,35957.44135,318.6752841,35957.44135,317.2902869,35957.44135,138.4997284,35957.44135,313.5130215,35957.44135,318.5493753,35957.44135,266.9267493,35957.44135,70.50895264,35957.44135,292.1085181,35957.44135,226.6359192
35960,251.605957,35960,135.8672168,35960,276.7665527,35960,309.4753271,35960,246.5738379,35960,166.0599316,35960,223.9293018,35960,201.2847656,35960,301.9271484,35960,306.9592676,35960,281.7986719,35960,125.8029785,35960,308.4689033,35960,296.8950293,35960,176.1241699,35960,286.830791,35960,307.4624795,35960,314.5074463,35960,311.9913867,35960,150.9635742,35960,377.4089355,35960,181.1562891,35960,318.4073386,35960,317.0235059,35960,138.3832764,35960,313.2494165,35960,318.2815356,35960,266.7023145,35960,70.44966797,35960,291.8629102,35960,226.4453613
35963.19832,251.3420868,35963.19832,135.7247269,35963.19832,276.4762955,35963.19832,309.1507668,35963.19832,246.3152451,35963.19832,165.8857773,35963.19832,223.6944572,35963.19832,201.0736694,35963.19832,301.6105042,35963.19832,306.6373459,35963.19832,281.5031372,35963.19832,125.6710434,35963.19832,308.1453984,35963.19832,296.5836624,35963.19832,175.9394608,35963.19832,286.5299789,35963.19832,307.1400301,35963.19832,314.1776085,35963.19832,311.6641876,35963.19832,150.8052521,35963.19832,377.0131302,35963.19832,180.9663025,35963.19832,318.0734108,35963.19832,316.6910294,35963.19832,138.2381477,35963.19832,312.9208981,35963.19832,317.9477398,35963.19832,266.422612,35963.19832,70.3757843,35963.19832,291.5568207,35963.19832,226.2078781
35966.09915,251.108963,35966.09915,135.59884,35966.09915,276.2198593,35966.09915,308.8640245,35966.09915,246.0867837,35966.09915,165.7319156,35966.09915,223.4869771,35966.09915,200.8871704,35966.09915,301.3307556,35966.09915,306.3529349,35966.09915,281.2420386,35966.09915,125.5544815,35966.09915,307.8595887,35966.09915,296.3085764,35966.09915,175.7762741,35966.09915,286.2642178,35966.09915,306.8551528,35966.09915,313.8862038,35966.09915,311.3751141,35966.09915,150.6653778,35966.09915,376.6634445,35966.09915,180.7984534,35966.09915,317.7783927,35966.09915,316.3972934,35966.09915,138.1099297,35966.09915,312.630659,35966.09915,317.6528382,35966.09915,266.1755008,35966.09915,70.31050964,35966.09915,291.2863971,35966.09915,225.9980667
35969,250.8811188,35969,135.4758041,35969,275.9692307,35969,308.5837761,35969,245.8634964,35969,165.5815384,35969,223.2841957,35969,200.704895,35969,301.0573425,35969,306.0749649,35969,280.986853,35969,125.4405594,35969,307.5802516,35969,296.0397202,35969,175.6167831,35969,286.0044754,35969,306.5767271,35969,313.6013985,35969,311.0925873,35969,150.5286713,35969,376.3216782,35969,180.6344055,35969,317.4900558,35969,316.1102097,35969,137.9846153,35969,312.3469929,35969,317.3646152,35969,265.9339859,35969,70.24671326,35969,291.0220978,35969,225.7930069
35970,250.7949982,35970,135.429299,35970,275.874498,35970,308.4778477,35970,245.7790982,35970,165.5246988,35970,223.2075484,35970,200.6359985,35970,300.9539978,35970,305.9698978,35970,280.8903979,35970,125.3974991,35970,307.4746678,35970,295.9380978,35970,175.5564987,35970,285.9062979,35970,306.4714878,35970,313.4937477,35970,310.9857977,35970,150.4769989,35970,376.1924973,35970,180.5723987,35970,317.3810702,35970,316.0016977,35970,137.937249,35970,312.2397727,35970,317.2556727,35970,265.8426981,35970,70.22259949,35970,290.9221979,35970,225.7154984
