Date,History,Date00,REF,Date01,Sim#01,Date02,Sim#02,Date03,Sim#03,Date04,Sim#04,Date,Sim#05,Date,Sim#06,Date,Sim#07,Date,Sim#08,Date,Sim#09,Date,Sim#10,Date,Sim#11,Date,Sim#12,Date,Sim#13,Date14,Sim#14,Date,Sim#15,Date,Sim#16,Date,Sim#17,Date,Sim#18,Date,Sim#19,Date,Sim#20,Date,Sim#21,Date,Sim#22,Date,Sim#23,Date,Sim#24,Date,Sim#25,Date,Sim#26,Date,Sim#27,Date,Sim#28,Date,Sim#29,Date,Sim#30
35821.5,830598.375,35821.5,581418.8625,35821.5,448523.1225,35821.5,913658.2125,35821.5,1021636.001,35821.5,789068.4563,35821.5,548194.9275,35821.5,739232.5538,35821.5,664478.7,35821.5,996718.05,35821.5,1013330.018,35821.5,930270.18,35821.5,415299.1875,35821.5,1018313.608,35821.5,980106.0825,35821.5,861152.25,35821.5,946882.1475,35821.5,1014991.214,35821.5,1038247.969,35821.5,1029941.985,35821.5,498359.025,35821.5,1245897.563,35821.5,598030.83,35821.5,1051122.244,35821.5,1046553.953,35821.5,456829.1063,35821.5,1034094.977,35821.5,1050706.944,35821.5,847210.3425,35821.5,622948.7813,35821.5,963494.115,35821.5,747538.5375
35827,920180,35827,644126,35827,496897.2,35827,1012198,35827,1131821.4,35827,874171,35827,607318.8,35827,818960.2,35827,736144,35827,1104216,35827,1122619.6,35827,1030601.6,35827,460090,35827,1128140.68,35827,1085812.4,35827,954872.8125,35827,1049005.2,35827,1124459.96,35827,1150225,35827,1141023.2,35827,552108,35827,1380270,35827,662529.6,35827,1164487.79,35827,1159426.8,35827,506099,35827,1145624.1,35827,1164027.7,35827,938583.6,35827,690135,35827,1067408.8,35827,828162
35837,932303.625,35837,652612.5375,35837,503443.9575,35837,1025533.988,35837,1146733.459,35837,885688.4438,35837,615320.3925,35837,829750.2263,35837,745842.9,35837,1118764.35,35837,1137410.423,35837,1044180.06,35837,466151.8125,35837,1143004.244,35837,1100118.278,35837,967790.625,35837,1062826.133,35837,1139275.03,35837,1165379.531,35837,1156056.495,35837,559382.175,35837,1398455.438,35837,671258.61,35837,1179830.237,35837,1174702.568,35837,512766.9938,35837,1160718.013,35837,1179364.086,35837,950949.6975,35837,699227.7188,35837,1081472.205,35837,839073.2625
35846,943214.9375,35846,660250.4563,35846,509336.0663,35846,1037536.431,35846,1160154.373,35846,896054.1906,35846,622521.8588,35846,839461.2944,35846,754571.95,35846,1131857.925,35846,1150722.224,35846,1056400.73,35846,471607.4688,35846,1156381.513,35846,1112993.626,35846,979396.0625,35846,1075265.029,35846,1152608.654,35846,1179018.672,35846,1169586.523,35846,565928.9625,35846,1414822.406,35846,679114.755,35846,1193638.503,35846,1188450.821,35846,518768.2156,35846,1174302.597,35846,1193166.896,35846,962079.2363,35846,707411.2031,35846,1094129.328,35846,848893.4438
35855,954126.1875,35855,667888.3313,35855,515228.1413,35855,1049538.806,35855,1173575.211,35855,906419.8781,35855,629723.2838,35855,849172.3069,35855,763300.95,35855,1144951.425,35855,1164033.949,35855,1068621.33,35855,477063.0938,35855,1169758.706,35855,1125868.901,35855,990992.8125,35855,1087703.854,35855,1165942.201,35855,1192657.734,35855,1183116.473,35855,572475.7125,35855,1431189.281,35855,686970.855,35855,1207446.69,35855,1202198.996,35855,524769.4031,35855,1187887.103,35855,1206969.627,35855,973208.7113,35855,715594.6406,35855,1106786.378,35855,858713.5688
35865,1061921.375,35865,743344.9625,35865,573437.5425,35865,1168113.513,35865,1306163.291,35865,1008825.306,35865,700868.1075,35865,945110.0238,35865,849537.1,35865,1274305.65,35865,1295544.078,35865,1189351.94,35865,530960.6875,35865,1301915.606,35865,1253067.223,35865,1114840,35865,1210590.368,35865,1297667.92,35865,1327401.719,35865,1316782.505,35865,637152.825,35865,1592882.063,35865,764583.39,35865,1343861.5,35865,1338020.933,35865,584056.7563,35865,1322092.112,35865,1343330.539,35865,1083159.803,35865,796441.0313,35865,1231828.795,35865,955729.2375
35874,1158936.875,35874,811255.8125,35874,625825.9125,35874,1274830.563,35874,1425492.356,35874,1100990.031,35874,764898.3375,35874,1031453.819,35874,927149.5,35874,1390724.25,35874,1413902.988,35874,1298009.3,35874,579468.4375,35874,1420856.609,35874,1367545.513,35874,1226398.75,35874,1321188.038,35874,1416220.861,35874,1448671.094,35874,1437081.725,35874,695362.125,35874,1738405.313,35874,834434.55,35874,1466634.615,35874,1460260.463,35874,637415.2813,35874,1442876.409,35874,1466055.147,35874,1182115.613,35874,869202.6563,35874,1344366.775,35874,1043043.188
35883,1255952.5,35883,879166.75,35883,678214.35,35883,1381547.75,35883,1544821.575,35883,1193154.875,35883,828928.65,35883,1117797.725,35883,1004762,35883,1507143,35883,1532262.05,35883,1406666.8,35883,627976.25,35883,1539797.765,35883,1482023.95,35883,1338091.625,35883,1431785.85,35883,1534773.955,35883,1569940.625,35883,1557381.1,35883,753571.5,35883,1883928.75,35883,904285.8,35883,1589407.889,35883,1582500.15,35883,690773.875,35883,1563660.863,35883,1588779.913,35883,1281071.55,35883,941964.375,35883,1456904.9,35883,1130357.25
35884,1271384.375,35884,889969.0625,35884,686547.5625,35884,1398522.813,35884,1563802.781,35884,1207815.156,35884,839113.6875,35884,1131532.094,35884,1017107.5,35884,1525661.25,35884,1551088.938,35884,1423950.5,35884,635692.1875,35884,1558717.244,35884,1500233.563,35884,1356197.375,35884,1449378.188,35884,1553631.706,35884,1589230.469,35884,1576516.625,35884,762830.625,35884,1907076.563,35884,915396.75,35884,1608936.927,35884,1601944.313,35884,699261.4063,35884,1582873.547,35884,1608301.234,35884,1296812.063,35884,953538.2813,35884,1474805.875,35884,1144245.938
35886,1305992.375,35886,914194.6625,35886,705235.8825,35886,1436591.613,35886,1606370.621,35886,1240692.756,35886,861954.9675,35886,1162333.214,35886,1044793.9,35886,1567190.85,35886,1593310.698,35886,1462711.46,35886,652996.1875,35886,1601146.652,35886,1541071.003,35886,1396648.375,35886,1488831.308,35886,1595922.682,35886,1632490.469,35886,1619430.545,35886,783595.425,35886,1958988.563,35886,940314.51,35886,1652733.351,35886,1645550.393,35886,718295.8063,35886,1625960.507,35886,1652080.354,35886,1332112.223,35886,979494.2813,35886,1514951.155,35886,1175393.138
35892,1403580.375,35892,982506.2625,35892,757933.4025,35892,1543938.413,35892,1726403.861,35892,1333401.356,35892,926363.0475,35892,1249186.534,35892,1122864.3,35892,1684296.45,35892,1712368.058,35892,1572010.02,35892,701790.1875,35892,1720789.54,35892,1656224.843,35892,1513237.25,35892,1600081.628,35892,1715175.218,35892,1754475.469,35892,1740439.665,35892,842148.225,35892,2105370.563,35892,1010577.87,35892,1776230.965,35892,1768511.273,35892,771969.2063,35892,1747457.567,35892,1775529.174,35892,1431651.983,35892,1052685.281,35892,1628153.235,35892,1263222.338
35900,1533697.75,35900,1073588.425,35900,828196.785,35900,1687067.525,35900,1886448.233,35900,1457012.863,35900,1012240.515,35900,1364990.998,35900,1226958.2,35900,1840437.3,35900,1871111.255,35900,1717741.48,35900,766848.875,35900,1880313.442,35900,1809763.345,35900,1668834.375,35900,1748415.435,35900,1874178.651,35900,1917122.188,35900,1901785.21,35900,920218.65,35900,2300546.625,35900,1104262.38,35900,1940894.503,35900,1932459.165,35900,843533.7625,35900,1909453.699,35900,1940127.654,35900,1564371.705,35900,1150273.313,35900,1779089.39,35900,1380327.975
35908,1663815,35908,1164670.5,35908,898460.1,35908,1830196.5,35908,2046492.45,35908,1580624.25,35908,1098117.9,35908,1480795.35,35908,1331052,35908,1996578,35908,2029854.3,35908,1863472.8,35908,831907.5,35908,2039837.19,35908,1963301.7,35908,1824269.5,35908,1896749.1,35908,2033181.93,35908,2079768.75,35908,2063130.6,35908,998289,35908,2495722.5,35908,1197946.8,35908,2105557.883,35908,2096406.9,35908,915098.25,35908,2071449.675,35908,2104725.975,35908,1697091.3,35908,1247861.25,35908,1930025.4,35908,1497433.5
35916,1809177.875,35916,1266424.513,35916,976956.0525,35916,1990095.663,35916,2225288.786,35916,1718718.981,35916,1194057.398,35916,1610168.309,35916,1447342.3,35916,2171013.45,35916,2207197.008,35916,2026279.22,35916,904588.9375,35916,2218052.075,35916,2134829.893,35916,1998277.5,35916,2062462.778,35916,2210815.363,35916,2261472.344,35916,2243380.565,35916,1085506.725,35916,2713766.813,35916,1302608.07,35916,2289514.601,35916,2279564.123,35916,995047.8313,35916,2252426.454,35916,2288610.012,35916,1845361.433,35916,1356883.406,35916,2098646.335,35916,1628260.088
35926,2011469.75,35926,1408028.825,35926,1086193.665,35926,2212616.725,35926,2474107.793,35926,1910896.263,35926,1327570.035,35926,1790208.078,35926,1609175.8,35926,2413763.7,35926,2453993.095,35926,2252846.12,35926,1005734.875,35926,2466061.914,35926,2373534.305,35926,2238148.25,35926,2293075.515,35926,2458016.035,35926,2514337.188,35926,2494222.49,35926,1206881.85,35926,3017204.625,35926,1448258.22,35926,2545514.969,35926,2534451.885,35926,1106308.363,35926,2504279.839,35926,2544509.234,35926,2051699.145,35926,1508602.313,35926,2333304.91,35926,1810322.775
35933.5,2163188.75,35933.5,1514232.125,35933.5,1168121.925,35933.5,2379507.625,35933.5,2660722.163,35933.5,2055029.313,35933.5,1427704.575,35933.5,1925237.988,35933.5,1730551,35933.5,2595826.5,35933.5,2639090.275,35933.5,2422771.4,35933.5,1081594.375,35933.5,2652069.408,35933.5,2552562.725,35933.5,2415882,35933.5,2466035.175,35933.5,2643416.653,35933.5,2703985.938,35933.5,2682354.05,35933.5,1297913.25,35933.5,3244783.125,35933.5,1557495.9,35933.5,2737515.363,35933.5,2725617.825,35933.5,1189753.813,35933.5,2693169.994,35933.5,2736433.769,35933.5,2206452.525,35933.5,1622391.563,35933.5,2509298.95,35933.5,1946869.875
35941,2314907.5,35941,1620435.25,35941,1250050.05,35941,2546398.25,35941,2847336.225,35941,2199162.125,35941,1527838.95,35941,2060267.675,35941,1851926,35941,2777889,35941,2824187.15,35941,2592696.4,35941,1157453.75,35941,2838076.595,35941,2731590.85,35941,2591163.75,35941,2638994.55,35941,2828816.965,35941,2893634.375,35941,2870485.3,35941,1388944.5,35941,3472361.25,35941,1666733.4,35941,2929515.441,35941,2916783.45,35941,1273199.125,35941,2882059.838,35941,2928357.988,35941,2361205.65,35941,1736180.625,35941,2685292.7,35941,2083416.75
35942,2335660.5,35942,1634962.35,35942,1261256.67,35942,2569226.55,35942,2872862.415,35942,2218877.475,35942,1541535.93,35942,2078737.845,35942,1868528.4,35942,2802792.6,35942,2849505.81,35942,2615939.76,35942,1167830.25,35942,2863519.773,35942,2756079.39,35942,2615378.5,35942,2662652.97,35942,2854177.131,35942,2919575.625,35942,2896219.02,35942,1401396.3,35942,3503490.75,35942,1681675.56,35942,2955778.363,35942,2942932.23,35942,1284613.275,35942,2907897.323,35942,2954610.533,35942,2382373.71,35942,1751745.375,35942,2709366.18,35942,2102094.45
35943.25,2360054.5,35943.25,1652038.15,35943.25,1274429.43,35943.25,2596059.95,35943.25,2902867.035,35943.25,2242051.775,35943.25,1557635.97,35943.25,2100448.505,35943.25,1888043.6,35943.25,2832065.4,35943.25,2879266.49,35943.25,2643261.04,35943.25,1180027.25,35943.25,2893426.817,35943.25,2784864.31,35943.25,2643833.5,35943.25,2690462.13,35943.25,2883986.599,35943.25,2950068.125,35943.25,2926467.58,35943.25,1416032.7,35943.25,3540081.75,35943.25,1699239.24,35943.25,2986648.97,35943.25,2973668.67,35943.25,1298029.975,35943.25,2938267.853,35943.25,2985468.943,35943.25,2407255.59,35943.25,1770040.875,35943.25,2737663.22,35943.25,2124049.05
35944.8125,2390547,35944.8125,1673382.9,35944.8125,1290895.38,35944.8125,2629601.7,35944.8125,2940372.81,35944.8125,2271019.65,35944.8125,1577761.02,35944.8125,2127586.83,35944.8125,1912437.6,35944.8125,2868656.4,35944.8125,2916467.34,35944.8125,2677412.64,35944.8125,1195273.5,35944.8125,2930810.622,35944.8125,2820845.46,35944.8125,2679303.75,35944.8125,2725223.58,35944.8125,2921248.434,35944.8125,2988183.75,35944.8125,2964278.28,35944.8125,1434328.2,35944.8125,3585820.5,35944.8125,1721193.84,35944.8125,3025237.229,35944.8125,3012089.22,35944.8125,1314800.85,35944.8125,2976231.015,35944.8125,3024041.955,35944.8125,2438357.94,35944.8125,1792910.25,35944.8125,2773034.52,35944.8125,2151492.3
35945.90625,2411891.75,35945.90625,1688324.225,35945.90625,1302421.545,35945.90625,2653080.925,35945.90625,2966626.853,35945.90625,2291297.163,35945.90625,1591848.555,35945.90625,2146583.658,35945.90625,1929513.4,35945.90625,2894270.1,35945.90625,2942507.935,35945.90625,2701318.76,35945.90625,1205945.875,35945.90625,2956979.286,35945.90625,2846032.265,35945.90625,2704085.25,35945.90625,2749556.595,35945.90625,2947331.719,35945.90625,3014864.688,35945.90625,2990745.77,35945.90625,1447135.05,35945.90625,3617837.625,35945.90625,1736562.06,35945.90625,3052249.01,35945.90625,3038983.605,35945.90625,1326540.463,35945.90625,3002805.229,35945.90625,3051043.064,35945.90625,2460129.585,35945.90625,1808918.813,35945.90625,2797794.43,35945.90625,2170702.575
35947,2433236.25,35947,1703265.375,35947,1313947.575,35947,2676559.875,35947,2992880.588,35947,2311574.438,35947,1605935.925,35947,2165580.263,35947,1946589,35947,2919883.5,35947,2968548.225,35947,2725224.6,35947,1216618.125,35947,2983147.643,35947,2871218.775,35947,2728818.75,35947,2773889.325,35947,2973414.698,35947,3041545.313,35947,3017212.95,35947,1459941.75,35947,3649854.375,35947,1751930.1,35947,3079260.474,35947,3065877.675,35947,1338279.938,35947,3029379.131,35947,3078043.856,35947,2481900.975,35947,1824927.188,35947,2822554.05,35947,2189912.625
35948.36719,2459641.25,35948.36719,1721748.875,35948.36719,1328206.275,35948.36719,2705605.375,35948.36719,3025358.738,35948.36719,2336659.188,35948.36719,1623363.225,35948.36719,2189080.713,35948.36719,1967713,35948.36719,2951569.5,35948.36719,3000762.325,35948.36719,2754798.2,35948.36719,1229820.625,35948.36719,3015520.173,35948.36719,2902376.675,35948.36719,2760157.25,35948.36719,2803991.025,35948.36719,3005681.608,35948.36719,3074551.563,35948.36719,3049955.15,35948.36719,1475784.75,35948.36719,3689461.875,35948.36719,1770941.7,35948.36719,3112676.002,35948.36719,3099147.975,35948.36719,1352802.688,35948.36719,3062253.356,35948.36719,3111446.181,35948.36719,2508834.075,35948.36719,1844730.938,35948.36719,2853183.85,35948.36719,2213677.125
35950.07617,2492647.25,35950.07617,1744853.075,35950.07617,1346029.515,35950.07617,2741911.975,35950.07617,3065956.118,35950.07617,2368014.888,35950.07617,1645147.185,35950.07617,2218456.053,35950.07617,1994117.8,35950.07617,2991176.7,35950.07617,3041029.645,35950.07617,2791764.92,35950.07617,1246323.625,35950.07617,3055985.529,35950.07617,2941323.755,35950.07617,2799222.5,35950.07617,2841617.865,35950.07617,3046014.94,35950.07617,3115809.063,35950.07617,3090882.59,35950.07617,1495588.35,35950.07617,3738970.875,35950.07617,1794706.02,35950.07617,3154445.095,35950.07617,3140735.535,35950.07617,1370955.988,35950.07617,3103345.826,35950.07617,3153198.771,35950.07617,2542500.195,35950.07617,1869485.438,35950.07617,2891470.81,35950.07617,2243382.525
35952.2124,2533905,35952.2124,1773733.5,35952.2124,1368308.7,35952.2124,2787295.5,35952.2124,3116703.15,35952.2124,2407209.75,35952.2124,1672377.3,35952.2124,2255175.45,35952.2124,2027124,35952.2124,3040686,35952.2124,3091364.1,35952.2124,2837973.6,35952.2124,1266952.5,35952.2124,3106567.53,35952.2124,2990007.9,35952.2124,2847892.75,35952.2124,2888651.7,35952.2124,3096431.91,35952.2124,3167381.25,35952.2124,3142042.2,35952.2124,1520343,35952.2124,3800857.5,35952.2124,1824411.6,35952.2124,3206656.778,35952.2124,3192720.3,35952.2124,1393647.75,35952.2124,3154711.725,35952.2124,3205389.825,35952.2124,2584583.1,35952.2124,1900428.75,35952.2124,2939329.8,35952.2124,2280514.5
35954.88269,2585477,35954.88269,1809833.9,35954.88269,1396157.58,35954.88269,2844024.7,35954.88269,3180136.71,35954.88269,2456203.15,35954.88269,1706414.82,35954.88269,2301074.53,35954.88269,2068381.6,35954.88269,3102572.4,35954.88269,3154281.94,35954.88269,2895734.24,35954.88269,1292738.5,35954.88269,3169794.802,35954.88269,3050862.86,35954.88269,2908482,35954.88269,2947443.78,35954.88269,3159452.894,35954.88269,3231846.25,35954.88269,3205991.48,35954.88269,1551286.2,35954.88269,3878215.5,35954.88269,1861543.44,35954.88269,3271921.144,35954.88269,3257701.02,35954.88269,1422012.35,35954.88269,3218918.865,35954.88269,3270628.405,35954.88269,2637186.54,35954.88269,1939107.75,35954.88269,2999153.32,35954.88269,2326929.3
35957.44135,2634893,35957.44135,1844425.1,35957.44135,1422842.22,35957.44135,2898382.3,35957.44135,3240918.39,35957.44135,2503148.35,35957.44135,1739029.38,35957.44135,2345054.77,35957.44135,2107914.4,35957.44135,3161871.6,35957.44135,3214569.46,35957.44135,2951080.16,35957.44135,1317446.5,35957.44135,3230378.818,35957.44135,3109173.74,35957.44135,2966326.75,35957.44135,3003778.02,35957.44135,3219839.246,35957.44135,3293616.25,35957.44135,3267267.32,35957.44135,1580935.8,35957.44135,3952339.5,35957.44135,1897122.96,35957.44135,3334457.092,35957.44135,3319965.18,35957.44135,1449191.15,35957.44135,3280441.785,35957.44135,3333139.645,35957.44135,2687590.86,35957.44135,1976169.75,35957.44135,3056475.88,35957.44135,2371403.7
35960,2684309,35960,1879016.3,35960,1449526.86,35960,2952739.9,35960,3301700.07,35960,2550093.55,35960,1771643.94,35960,2389035.01,35960,2147447.2,35960,3221170.8,35960,3274856.98,35960,3006426.08,35960,1342154.5,35960,3290962.834,35960,3167484.62,35960,3023961.25,35960,3060112.26,35960,3280225.598,35960,3355386.25,35960,3328543.16,35960,1610585.4,35960,4026463.5,35960,1932702.48,35960,3396993.04,35960,3382229.34,35960,1476369.95,35960,3341964.705,35960,3395650.885,35960,2737995.18,35960,2013231.75,35960,3113798.44,35960,2415878.1
35963.19832,2749211.25,35963.19832,1924447.875,35963.19832,1484574.075,35963.19832,3024132.375,35963.19832,3381529.838,35963.19832,2611750.688,35963.19832,1814479.425,35963.19832,2446798.013,35963.19832,2199369,35963.19832,3299053.5,35963.19832,3354037.725,35963.19832,3079116.6,35963.19832,1374605.625,35963.19832,3370532.993,35963.19832,3244069.275,35963.19832,3097627.75,35963.19832,3134100.825,35963.19832,3359536.148,35963.19832,3436514.063,35963.19832,3409021.95,35963.19832,1649526.75,35963.19832,4123816.875,35963.19832,1979432.1,35963.19832,3479126.837,35963.19832,3464006.175,35963.19832,1512066.188,35963.19832,3422768.006,35963.19832,3477752.231,35963.19832,2804195.475,35963.19832,2061908.438,35963.19832,3189085.05,35963.19832,2474290.125
35966.09915,2808076.75,35966.09915,1965653.725,35966.09915,1516361.445,35966.09915,3088884.425,35966.09915,3453934.403,35966.09915,2667672.913,35966.09915,1853330.655,35966.09915,2499188.308,35966.09915,2246461.4,35966.09915,3369692.1,35966.09915,3425853.635,35966.09915,3145045.96,35966.09915,1404038.375,35966.09915,3442702.096,35966.09915,3313530.565,35966.09915,3164196.5,35966.09915,3201207.495,35966.09915,3431469.789,35966.09915,3510095.938,35966.09915,3482015.17,35966.09915,1684846.05,35966.09915,4212115.125,35966.09915,2021815.26,35966.09915,3553621.127,35966.09915,3538176.705,35966.09915,1544442.213,35966.09915,3496055.554,35966.09915,3552217.089,35966.09915,2864238.285,35966.09915,2106057.563,35966.09915,3257369.03,35966.09915,2527269.075
35969,2866942.5,35969,2006859.75,35969,1548148.95,35969,3153636.75,35969,3526339.275,35969,2723595.375,35969,1892182.05,35969,2551578.825,35969,2293554,35969,3440331,35969,3497669.85,35969,3210975.6,35969,1433471.25,35969,3514871.505,35969,3382992.15,35969,3230503.75,35969,3268314.45,35969,3503403.735,35969,3583678.125,35969,3555008.7,35969,1720165.5,35969,4300413.75,35969,2064198.6,35969,3628115.734,35969,3612347.55,35969,1576818.375,35969,3569343.413,35969,3626682.263,35969,2924281.35,35969,2150206.875,35969,3325653.3,35969,2580248.25
